"task","repeat_id","outer_fold","inner_fold","t_end","num.trees","mtry_rule","min.node.size","k_use","mtry","accuracy"
"NUC_vs_CONTROL",1,1,3,18,400,"floor_sqrt_p",5,15,3,0.877064220183486
"NUC_vs_CONTROL",1,1,3,18,400,"floor_sqrt_p",7,15,3,0.877064220183486
"NUC_vs_CONTROL",1,1,4,18,400,"floor_sqrt_p",2,15,3,0.862385321100917
"NUC_vs_CONTROL",1,1,4,18,400,"floor_sqrt_p",5,15,3,0.858715596330275
"NUC_vs_CONTROL",1,1,4,18,400,"floor_sqrt_p",7,15,3,0.847706422018349
"NUC_vs_CONTROL",1,1,5,18,400,"floor_sqrt_p",2,15,3,0.851376146788991
"NUC_vs_CONTROL",1,1,5,18,400,"floor_sqrt_p",5,15,3,0.858715596330275
"NUC_vs_CONTROL",1,1,5,18,400,"floor_sqrt_p",7,15,3,0.845871559633028
"NUC_vs_CONTROL",1,1,1,19,400,"floor_sqrt_p",2,15,3,0.822344322344322
"NUC_vs_CONTROL",1,1,1,19,400,"floor_sqrt_p",5,15,3,0.826007326007326
"NUC_vs_CONTROL",1,1,1,19,400,"floor_sqrt_p",7,15,3,0.827838827838828
"NUC_vs_CONTROL",1,1,2,19,400,"floor_sqrt_p",2,16,4,0.873626373626374
"NUC_vs_CONTROL",1,1,2,19,400,"floor_sqrt_p",5,16,4,0.875457875457875
"NUC_vs_CONTROL",1,1,2,19,400,"floor_sqrt_p",7,16,4,0.86996336996337
"NUC_vs_CONTROL",1,1,3,19,400,"floor_sqrt_p",2,15,3,0.884403669724771
"NUC_vs_CONTROL",1,1,3,19,400,"floor_sqrt_p",5,15,3,0.88256880733945
"NUC_vs_CONTROL",1,1,3,19,400,"floor_sqrt_p",7,15,3,0.880733944954128
"NUC_vs_CONTROL",1,1,4,19,400,"floor_sqrt_p",2,15,3,0.851376146788991
"NUC_vs_CONTROL",1,1,4,19,400,"floor_sqrt_p",5,15,3,0.84954128440367
"NUC_vs_CONTROL",1,1,4,19,400,"floor_sqrt_p",7,15,3,0.845871559633028
"NUC_vs_CONTROL",1,1,5,19,400,"floor_sqrt_p",2,16,4,0.840366972477064
"NUC_vs_CONTROL",1,1,5,19,400,"floor_sqrt_p",5,16,4,0.845871559633028
"NUC_vs_CONTROL",1,1,5,19,400,"floor_sqrt_p",7,16,4,0.847706422018349
"NUC_vs_CONTROL",1,1,1,20,400,"floor_sqrt_p",2,15,3,0.833333333333333
"NUC_vs_CONTROL",1,1,1,20,400,"floor_sqrt_p",5,15,3,0.822344322344322
"NUC_vs_CONTROL",1,1,1,20,400,"floor_sqrt_p",7,15,3,0.833333333333333
"NUC_vs_CONTROL",1,1,2,20,400,"floor_sqrt_p",2,16,4,0.871794871794872
"NUC_vs_CONTROL",1,1,2,20,400,"floor_sqrt_p",5,16,4,0.868131868131868
"NUC_vs_CONTROL",1,1,2,20,400,"floor_sqrt_p",7,16,4,0.862637362637363
"NUC_vs_CONTROL",1,1,3,20,400,"floor_sqrt_p",2,15,3,0.869724770642202
"NUC_vs_CONTROL",1,1,3,20,400,"floor_sqrt_p",5,15,3,0.86605504587156
"NUC_vs_CONTROL",1,1,3,20,400,"floor_sqrt_p",7,15,3,0.858715596330275
"NUC_vs_CONTROL",1,1,4,20,400,"floor_sqrt_p",2,15,3,0.853211009174312
"NUC_vs_CONTROL",1,1,4,20,400,"floor_sqrt_p",5,15,3,0.864220183486239
"NUC_vs_CONTROL",1,1,4,20,400,"floor_sqrt_p",7,15,3,0.844036697247706
"NUC_vs_CONTROL",1,1,5,20,400,"floor_sqrt_p",2,16,4,0.829357798165138
"NUC_vs_CONTROL",1,1,5,20,400,"floor_sqrt_p",5,16,4,0.827522935779817
"NUC_vs_CONTROL",1,1,5,20,400,"floor_sqrt_p",7,16,4,0.827522935779817
"NUC_vs_CONTROL",1,2,1,6,400,"floor_sqrt_p",2,6,2,0.8003663003663
"NUC_vs_CONTROL",1,2,1,6,400,"floor_sqrt_p",5,6,2,0.807692307692308
"NUC_vs_CONTROL",1,2,1,6,400,"floor_sqrt_p",7,6,2,0.80952380952381
"NUC_vs_CONTROL",1,2,2,6,400,"floor_sqrt_p",2,6,2,0.811355311355311
"NUC_vs_CONTROL",1,2,2,6,400,"floor_sqrt_p",5,6,2,0.824175824175824
"NUC_vs_CONTROL",1,2,2,6,400,"floor_sqrt_p",7,6,2,0.822344322344322
"NUC_vs_CONTROL",1,2,3,6,400,"floor_sqrt_p",2,6,2,0.785321100917431
"NUC_vs_CONTROL",1,2,3,6,400,"floor_sqrt_p",5,6,2,0.790825688073394
"NUC_vs_CONTROL",1,2,3,6,400,"floor_sqrt_p",7,6,2,0.792660550458716
"NUC_vs_CONTROL",1,2,4,6,400,"floor_sqrt_p",2,6,2,0.836697247706422
"NUC_vs_CONTROL",1,2,4,6,400,"floor_sqrt_p",5,6,2,0.838532110091743
"NUC_vs_CONTROL",1,2,4,6,400,"floor_sqrt_p",7,6,2,0.838532110091743
"NUC_vs_CONTROL",1,2,5,6,400,"floor_sqrt_p",2,6,2,0.851376146788991
"NUC_vs_CONTROL",1,2,5,6,400,"floor_sqrt_p",5,6,2,0.844036697247706
"NUC_vs_CONTROL",1,2,5,6,400,"floor_sqrt_p",7,6,2,0.845871559633028
"NUC_vs_CONTROL",1,2,1,7,400,"floor_sqrt_p",2,7,2,0.840659340659341
"NUC_vs_CONTROL",1,2,1,7,400,"floor_sqrt_p",5,7,2,0.838827838827839
"NUC_vs_CONTROL",1,2,1,7,400,"floor_sqrt_p",7,7,2,0.838827838827839
"NUC_vs_CONTROL",1,2,2,7,400,"floor_sqrt_p",2,7,2,0.805860805860806
"NUC_vs_CONTROL",1,2,2,7,400,"floor_sqrt_p",5,7,2,0.815018315018315
"NUC_vs_CONTROL",1,2,2,7,400,"floor_sqrt_p",7,7,2,0.807692307692308
"NUC_vs_CONTROL",1,2,3,7,400,"floor_sqrt_p",2,7,2,0.805504587155963
"NUC_vs_CONTROL",1,2,3,7,400,"floor_sqrt_p",5,7,2,0.794495412844037
"NUC_vs_CONTROL",1,2,3,7,400,"floor_sqrt_p",7,7,2,0.798165137614679
"NUC_vs_CONTROL",1,2,4,7,400,"floor_sqrt_p",2,8,2,0.845871559633028
"NUC_vs_CONTROL",1,2,4,7,400,"floor_sqrt_p",5,8,2,0.84954128440367
"NUC_vs_CONTROL",1,2,4,7,400,"floor_sqrt_p",7,8,2,0.840366972477064
"NUC_vs_CONTROL",1,2,5,7,400,"floor_sqrt_p",2,7,2,0.825688073394495
"NUC_vs_CONTROL",1,2,5,7,400,"floor_sqrt_p",5,7,2,0.827522935779817
"NUC_vs_CONTROL",1,2,5,7,400,"floor_sqrt_p",7,7,2,0.836697247706422
"NUC_vs_CONTROL",1,2,1,8,400,"floor_sqrt_p",2,8,2,0.838827838827839
"NUC_vs_CONTROL",1,2,1,8,400,"floor_sqrt_p",5,8,2,0.835164835164835
"NUC_vs_CONTROL",1,2,1,8,400,"floor_sqrt_p",7,8,2,0.835164835164835
"NUC_vs_CONTROL",1,2,2,8,400,"floor_sqrt_p",2,8,2,0.835164835164835
"NUC_vs_CONTROL",1,2,2,8,400,"floor_sqrt_p",5,8,2,0.840659340659341
"NUC_vs_CONTROL",1,2,2,8,400,"floor_sqrt_p",7,8,2,0.836996336996337
"NUC_vs_CONTROL",1,2,3,8,400,"floor_sqrt_p",2,8,2,0.840366972477064
"NUC_vs_CONTROL",1,2,3,8,400,"floor_sqrt_p",5,8,2,0.836697247706422
"NUC_vs_CONTROL",1,2,3,8,400,"floor_sqrt_p",7,8,2,0.844036697247706
"NUC_vs_CONTROL",1,2,4,8,400,"floor_sqrt_p",2,8,2,0.856880733944954
"NUC_vs_CONTROL",1,2,4,8,400,"floor_sqrt_p",5,8,2,0.856880733944954
"NUC_vs_CONTROL",1,2,4,8,400,"floor_sqrt_p",7,8,2,0.851376146788991
"NUC_vs_CONTROL",1,2,5,8,400,"floor_sqrt_p",2,8,2,0.823853211009174
"NUC_vs_CONTROL",1,2,5,8,400,"floor_sqrt_p",5,8,2,0.814678899082569
"NUC_vs_CONTROL",1,2,5,8,400,"floor_sqrt_p",7,8,2,0.81651376146789
"NUC_vs_CONTROL",1,2,1,9,400,"floor_sqrt_p",2,9,3,0.838827838827839
"NUC_vs_CONTROL",1,2,1,9,400,"floor_sqrt_p",5,9,3,0.835164835164835
"NUC_vs_CONTROL",1,2,1,9,400,"floor_sqrt_p",7,9,3,0.836996336996337
"NUC_vs_CONTROL",1,2,2,9,400,"floor_sqrt_p",2,9,3,0.844322344322344
"NUC_vs_CONTROL",1,2,2,9,400,"floor_sqrt_p",5,9,3,0.842490842490842
"NUC_vs_CONTROL",1,2,2,9,400,"floor_sqrt_p",7,9,3,0.840659340659341
"NUC_vs_CONTROL",1,2,3,9,400,"floor_sqrt_p",2,9,3,0.831192660550459
"NUC_vs_CONTROL",1,2,3,9,400,"floor_sqrt_p",5,9,3,0.827522935779817
"NUC_vs_CONTROL",1,2,3,9,400,"floor_sqrt_p",7,9,3,0.820183486238532
"NUC_vs_CONTROL",1,2,4,9,400,"floor_sqrt_p",2,9,3,0.853211009174312
"NUC_vs_CONTROL",1,2,4,9,400,"floor_sqrt_p",5,9,3,0.858715596330275
