"task","repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
"HEME_vs_CONTROL",1,2,3,19,1e-06,-6,13,0.862595419847328
"HEME_vs_CONTROL",1,2,4,19,1e-06,-6,13,0.885204081632653
"HEME_vs_CONTROL",1,2,5,19,1e-06,-6,12,0.897959183673469
"HEME_vs_CONTROL",1,2,1,20,1e-06,-6,13,0.872773536895674
"HEME_vs_CONTROL",1,2,2,20,1e-06,-6,13,0.83969465648855
"HEME_vs_CONTROL",1,2,3,20,1e-06,-6,13,0.865139949109415
"HEME_vs_CONTROL",1,2,4,20,1e-06,-6,13,0.880102040816326
"HEME_vs_CONTROL",1,2,5,20,1e-06,-6,13,0.900510204081633
"HEME_vs_CONTROL",1,3,1,6,1e-06,-6,5,0.88295165394402
"HEME_vs_CONTROL",1,3,2,6,1e-06,-6,6,0.908396946564885
"HEME_vs_CONTROL",1,3,3,6,1e-06,-6,6,0.905852417302799
"HEME_vs_CONTROL",1,3,4,6,1e-06,-6,5,0.877862595419847
"HEME_vs_CONTROL",1,3,5,6,1e-06,-6,5,0.854591836734694
"HEME_vs_CONTROL",1,3,1,7,1e-06,-6,6,0.900763358778626
"HEME_vs_CONTROL",1,3,2,7,1e-06,-6,7,0.903307888040712
"HEME_vs_CONTROL",1,3,3,7,1e-06,-6,7,0.903307888040712
"HEME_vs_CONTROL",1,3,4,7,1e-06,-6,7,0.880407124681934
"HEME_vs_CONTROL",1,3,5,7,1e-06,-6,7,0.862244897959184
"HEME_vs_CONTROL",1,3,1,8,1e-06,-6,7,0.885496183206107
"HEME_vs_CONTROL",1,3,2,8,1e-06,-6,7,0.900763358778626
"HEME_vs_CONTROL",1,3,3,8,1e-06,-6,8,0.888040712468193
"HEME_vs_CONTROL",1,3,4,8,1e-06,-6,7,0.857506361323155
"HEME_vs_CONTROL",1,3,5,8,1e-06,-6,7,0.854591836734694
"HEME_vs_CONTROL",1,3,1,9,1e-06,-6,8,0.898218829516539
"HEME_vs_CONTROL",1,3,2,9,1e-06,-6,8,0.908396946564885
"HEME_vs_CONTROL",1,3,3,9,1e-06,-6,8,0.885496183206107
