"task","repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
"NUC_vs_CONTROL",8,4,"Mahalanobis",10,0.71071953010279,0.71071953010279,0,10
"NUC_vs_CONTROL",8,5,"RF",10,0.84287812041116,0.845814977973568,0.00293685756240825,10
"NUC_vs_CONTROL",8,5,"BinomialLasso",10,0.688693098384728,0.68575624082232,-0.00293685756240825,10
"NUC_vs_CONTROL",8,5,"Mahalanobis",10,0.679882525697504,0.684287812041116,0.00440528634361237,10
"NUC_vs_CONTROL",9,1,"RF",10,0.846266471449488,0.840409956076135,-0.00585651537335286,10
"NUC_vs_CONTROL",9,1,"BinomialLasso",10,0.71303074670571,0.71303074670571,0,10
"NUC_vs_CONTROL",9,1,"Mahalanobis",10,0.698389458272328,0.695461200585652,-0.00292825768667648,10
"NUC_vs_CONTROL",9,2,"RF",10,0.871156661786237,0.872620790629575,0.00146412884333824,10
"NUC_vs_CONTROL",9,2,"BinomialLasso",10,0.714494875549048,0.714494875549048,0,10
"NUC_vs_CONTROL",9,2,"Mahalanobis",10,0.708638360175695,0.705710102489019,-0.00292825768667648,10
"NUC_vs_CONTROL",9,3,"RF",10,0.848973607038123,0.844574780058651,-0.00439882697947214,10
"NUC_vs_CONTROL",9,3,"BinomialLasso",10,0.706744868035191,0.708211143695015,0.00146627565982405,10
"NUC_vs_CONTROL",9,3,"Mahalanobis",10,0.705278592375367,0.700879765395894,-0.00439882697947214,10
"NUC_vs_CONTROL",9,4,"RF",10,0.844346549192364,0.845814977973568,0.00146842878120412,10
"NUC_vs_CONTROL",9,4,"BinomialLasso",10,0.666666666666667,0.666666666666667,0,10
"NUC_vs_CONTROL",9,4,"Mahalanobis",10,0.662261380323054,0.66079295154185,-0.00146842878120412,10
"NUC_vs_CONTROL",9,5,"RF",10,0.845814977973568,0.850220264317181,0.00440528634361226,10
"NUC_vs_CONTROL",9,5,"BinomialLasso",10,0.682819383259912,0.684287812041116,0.00146842878120412,10
"NUC_vs_CONTROL",9,5,"Mahalanobis",10,0.687224669603524,0.694566813509545,0.0073421439060205,10
"NUC_vs_CONTROL",10,1,"RF",10,0.868228404099561,0.86090775988287,-0.0073206442166911,10
"NUC_vs_CONTROL",10,1,"BinomialLasso",10,0.708638360175695,0.707174231332357,-0.00146412884333824,10
"NUC_vs_CONTROL",10,1,"Mahalanobis",10,0.710102489019034,0.714494875549048,0.00439238653001461,10
"NUC_vs_CONTROL",10,2,"RF",10,0.86090775988287,0.86090775988287,0,10
"NUC_vs_CONTROL",10,2,"BinomialLasso",10,0.704245973645681,0.701317715959004,-0.00292825768667648,10
"NUC_vs_CONTROL",10,2,"Mahalanobis",10,0.689604685212299,0.686676427525622,-0.00292825768667637,10
"NUC_vs_CONTROL",10,3,"RF",10,0.838709677419355,0.837243401759531,-0.00146627565982405,10
"NUC_vs_CONTROL",10,3,"BinomialLasso",10,0.683284457478006,0.686217008797654,0.00293255131964809,10
"NUC_vs_CONTROL",10,3,"Mahalanobis",10,0.670087976539589,0.668621700879765,-0.00146627565982405,10
"NUC_vs_CONTROL",10,4,"RF",10,0.854625550660793,0.856093979441997,0.00146842878120412,10
"NUC_vs_CONTROL",10,4,"BinomialLasso",10,0.687224669603524,0.679882525697504,-0.00734214390602062,10
"NUC_vs_CONTROL",10,4,"Mahalanobis",10,0.698972099853157,0.694566813509545,-0.00440528634361237,10
"NUC_vs_CONTROL",10,5,"RF",10,0.844346549192364,0.847283406754772,0.00293685756240825,10
"NUC_vs_CONTROL",10,5,"BinomialLasso",10,0.674008810572687,0.674008810572687,0,10
"NUC_vs_CONTROL",10,5,"Mahalanobis",10,0.68575624082232,0.68575624082232,0,10
"NUC_vs_CONTROL",11,1,"RF",10,0.833089311859444,0.840409956076135,0.00732064421669099,10
"NUC_vs_CONTROL",11,1,"BinomialLasso",10,0.670571010248902,0.669106881405564,-0.00146412884333813,10
"NUC_vs_CONTROL",11,1,"Mahalanobis",10,0.677891654465593,0.679355783308931,0.00146412884333824,10
"NUC_vs_CONTROL",11,2,"RF",10,0.850658857979502,0.85212298682284,0.00146412884333813,10
"NUC_vs_CONTROL",11,2,"BinomialLasso",10,0.68814055636896,0.686676427525622,-0.00146412884333813,10
"NUC_vs_CONTROL",11,2,"Mahalanobis",10,0.683748169838946,0.682284040995608,-0.00146412884333824,10
"NUC_vs_CONTROL",11,3,"RF",10,0.838709677419355,0.848973607038123,0.0102639296187683,10
"NUC_vs_CONTROL",11,3,"BinomialLasso",10,0.708211143695015,0.708211143695015,0,10
"NUC_vs_CONTROL",11,3,"Mahalanobis",10,0.709677419354839,0.708211143695015,-0.00146627565982405,10
"NUC_vs_CONTROL",11,4,"RF",10,0.848751835535977,0.853157121879589,0.00440528634361226,11
"NUC_vs_CONTROL",11,4,"BinomialLasso",10,0.700440528634361,0.698972099853157,-0.00146842878120412,11
"NUC_vs_CONTROL",11,4,"Mahalanobis",10,0.690161527165932,0.687224669603524,-0.00293685756240825,11
"NUC_vs_CONTROL",11,5,"RF",10,0.873715124816446,0.87518355359765,0.00146842878120412,10
"NUC_vs_CONTROL",11,5,"BinomialLasso",10,0.713656387665198,0.712187958883994,-0.00146842878120412,10
"NUC_vs_CONTROL",11,5,"Mahalanobis",10,0.719530102790015,0.722466960352423,0.00293685756240814,10
"NUC_vs_CONTROL",12,1,"RF",10,0.846266471449488,0.846266471449488,0,10
"NUC_vs_CONTROL",12,1,"BinomialLasso",10,0.679355783308931,0.682284040995608,0.00292825768667637,10
"NUC_vs_CONTROL",12,1,"Mahalanobis",10,0.68081991215227,0.679355783308931,-0.00146412884333824,10
"NUC_vs_CONTROL",12,2,"RF",10,0.837481698389458,0.843338213762811,0.00585651537335286,10
"NUC_vs_CONTROL",12,2,"BinomialLasso",10,0.701317715959004,0.699853587115666,-0.00146412884333824,10
"NUC_vs_CONTROL",12,2,"Mahalanobis",10,0.698389458272328,0.701317715959004,0.00292825768667637,10
"NUC_vs_CONTROL",12,3,"RF",10,0.847507331378299,0.846041055718475,-0.00146627565982405,10
"NUC_vs_CONTROL",12,3,"BinomialLasso",10,0.686217008797654,0.683284457478006,-0.00293255131964809,10
"NUC_vs_CONTROL",12,3,"Mahalanobis",10,0.689149560117302,0.689149560117302,0,10
"NUC_vs_CONTROL",12,4,"RF",10,0.86784140969163,0.859030837004405,-0.00881057268722463,10
"NUC_vs_CONTROL",12,4,"BinomialLasso",10,0.696035242290749,0.690161527165932,-0.00587371512481638,10
"NUC_vs_CONTROL",12,4,"Mahalanobis",10,0.681350954478708,0.676945668135095,-0.00440528634361226,10
"NUC_vs_CONTROL",12,5,"RF",10,0.864904552129222,0.861967694566814,-0.00293685756240814,10
"NUC_vs_CONTROL",12,5,"BinomialLasso",10,0.719530102790015,0.719530102790015,0,10
"NUC_vs_CONTROL",12,5,"Mahalanobis",10,0.706314243759178,0.707782672540382,0.00146842878120401,10
