"task","repeat_id","outer_fold","inner_fold","t_end","lambda","log10_lambda","k_use","accuracy"
"NUC_vs_CONTROL",3,1,5,7,1e-04,-4,7,0.671559633027523
"NUC_vs_CONTROL",3,1,1,8,0.01,-2,8,0.714285714285714
"NUC_vs_CONTROL",3,1,1,8,0.00599484250318941,-2.22222222222222,8,0.710622710622711
"NUC_vs_CONTROL",3,1,1,8,0.00359381366380463,-2.44444444444444,8,0.714285714285714
"NUC_vs_CONTROL",3,1,1,8,0.00215443469003188,-2.66666666666667,8,0.714285714285714
"NUC_vs_CONTROL",3,1,1,8,0.00129154966501488,-2.88888888888889,8,0.714285714285714
"NUC_vs_CONTROL",3,1,1,8,0.000774263682681127,-3.11111111111111,8,0.714285714285714
"NUC_vs_CONTROL",3,1,1,8,0.000464158883361278,-3.33333333333333,8,0.712454212454212
"NUC_vs_CONTROL",3,1,1,8,0.000278255940220713,-3.55555555555556,8,0.712454212454212
"NUC_vs_CONTROL",3,1,1,8,0.000166810053720006,-3.77777777777778,8,0.712454212454212
"NUC_vs_CONTROL",3,1,1,8,1e-04,-4,8,0.712454212454212
"NUC_vs_CONTROL",3,1,2,8,0.01,-2,8,0.661172161172161
"NUC_vs_CONTROL",3,1,2,8,0.00599484250318941,-2.22222222222222,8,0.661172161172161
"NUC_vs_CONTROL",3,1,2,8,0.00359381366380463,-2.44444444444444,8,0.657509157509158
"NUC_vs_CONTROL",3,1,2,8,0.00215443469003188,-2.66666666666667,8,0.661172161172161
"NUC_vs_CONTROL",3,1,2,8,0.00129154966501488,-2.88888888888889,8,0.659340659340659
