"threshold","ILR1_raw","ILR1_spline","v1_raw","v1_spline"
16.3,0.849847119249516,0.848010532434208,11.4228325626928,11.5095590829577
16.4,0.84621600051585,0.850226306099235,11.5162749464011,11.665604058826
16.5,0.847720411935129,0.852300346993581,11.7589503977835,11.8122979192103
16.6,0.847038799599298,0.853661577536003,11.947743848998,11.9552648407754
16.7,0.856971681095632,0.85373892014526,12.0795946008212,12.1001290001862
16.8,0.854132226404916,0.852006804427259,12.1524228581989,12.2519973588345
16.9,0.848585942578004,0.84870403852208,12.5156649708979,12.4072892778218
17,0.843209580665585,0.844703686990716,12.6387885632608,12.5552154303811
17.1,0.853354758727706,0.840898012738738,12.7846809369502,12.6847682895517
17.2,0.841447567759399,0.838179278671718,13.0148096885617,12.7849403283731
17.3,0.8299964152559,0.837438919085795,12.7782634395344,12.8447357164341
17.4,0.841716685471948,0.83914743468608,12.8312725548511,12.8591004703217
17.5,0.831024072995684,0.842670789805943,12.7361252490002,12.838572106719
17.6,0.846313463925356,0.847195969141624,12.5165035971845,12.7962145969385
17.7,0.853835947437114,0.851909957389361,12.5346564019347,12.7450919122924
17.8,0.858741661447056,0.855999739245395,12.8329274427773,12.6982680240931
17.9,0.852566017116437,0.858726679070186,12.8812375480161,12.6674770723644
18,0.856755803584815,0.860082847045504,12.8395556001486,12.6513889345503
18.1,0.872766452437429,0.860475054360816,12.6317944016417,12.6412583488294
18.2,0.869521920202496,0.860314872504102,12.5668301487347,12.6282549441779
18.3,0.863604674113811,0.860013872963338,12.578514285925,12.6035483495718
18.4,0.853651924851511,0.85998186033726,12.5901497430748,12.5583952252139
18.5,0.851337334303054,0.860474698999347,12.3967454687827,12.4916348269273
18.6,0.858202502609507,0.861477035824342,12.4221366531302,12.4154657038228
18.7,0.860965689138172,0.862945910042577,12.3232100409813,12.3434462679276
18.8,0.865339906349492,0.864838360884383,12.2793098311949,12.2891349312688
18.9,0.870313714297973,0.867111427580089,12.2205522168527,12.2660901058733
19,0.869618433787739,0.869664172047419,12.3054831905733,12.2850172503761
19.1,0.87380445324211,0.872037861029535,12.3711433134999,12.3390154027099
19.2,0.878642146783414,0.87363740721958,12.4562120539913,12.4144738770885
