"repeat_id","fold_id","model","t_end","smooth_lambda_name","smooth_lambda","accuracy","k_use"
5,5,"MultinomialLasso",10,"1e-2",0.01,0.775280898876405,6
5,5,"Mahalanobis",10,"1e-2",0.01,0.606741573033708,6
5,5,"RF",10,"1e-1",0.1,0.758426966292135,6
5,5,"MultinomialLasso",10,"1e-1",0.1,0.775280898876405,6
5,5,"Mahalanobis",10,"1e-1",0.1,0.601123595505618,6
6,1,"RF",10,"1e-4",1e-04,0.755434782608696,6
6,1,"MultinomialLasso",10,"1e-4",1e-04,0.771739130434783,6
6,1,"Mahalanobis",10,"1e-4",1e-04,0.592391304347826,6
6,1,"RF",10,"1e-3",0.001,0.75,6
6,1,"MultinomialLasso",10,"1e-3",0.001,0.771739130434783,6
6,1,"Mahalanobis",10,"1e-3",0.001,0.592391304347826,6
6,1,"RF",10,"1e-2",0.01,0.760869565217391,6
6,1,"MultinomialLasso",10,"1e-2",0.01,0.771739130434783,6
6,1,"Mahalanobis",10,"1e-2",0.01,0.592391304347826,6
6,1,"RF",10,"1e-1",0.1,0.766304347826087,6
6,1,"MultinomialLasso",10,"1e-1",0.1,0.771739130434783,6
6,1,"Mahalanobis",10,"1e-1",0.1,0.58695652173913,6
6,2,"RF",10,"1e-4",1e-04,0.775956284153005,6
6,2,"MultinomialLasso",10,"1e-4",1e-04,0.775956284153005,6
6,2,"Mahalanobis",10,"1e-4",1e-04,0.628415300546448,6
6,2,"RF",10,"1e-3",0.001,0.781420765027322,6
6,2,"MultinomialLasso",10,"1e-3",0.001,0.775956284153005,6
6,2,"Mahalanobis",10,"1e-3",0.001,0.628415300546448,6
6,2,"RF",10,"1e-2",0.01,0.781420765027322,6
6,2,"MultinomialLasso",10,"1e-2",0.01,0.775956284153005,6
6,2,"Mahalanobis",10,"1e-2",0.01,0.628415300546448,6
6,2,"RF",10,"1e-1",0.1,0.781420765027322,6
6,2,"MultinomialLasso",10,"1e-1",0.1,0.775956284153005,6
6,2,"Mahalanobis",10,"1e-1",0.1,0.628415300546448,6
6,3,"RF",10,"1e-4",1e-04,0.788888888888889,6
6,3,"MultinomialLasso",10,"1e-4",1e-04,0.783333333333333,6
6,3,"Mahalanobis",10,"1e-4",1e-04,0.577777777777778,6
6,3,"RF",10,"1e-3",0.001,0.788888888888889,6
6,3,"MultinomialLasso",10,"1e-3",0.001,0.783333333333333,6
6,3,"Mahalanobis",10,"1e-3",0.001,0.577777777777778,6
6,3,"RF",10,"1e-2",0.01,0.783333333333333,6
6,3,"MultinomialLasso",10,"1e-2",0.01,0.783333333333333,6
6,3,"Mahalanobis",10,"1e-2",0.01,0.577777777777778,6
6,3,"RF",10,"1e-1",0.1,0.794444444444444,6
6,3,"MultinomialLasso",10,"1e-1",0.1,0.788888888888889,6
6,3,"Mahalanobis",10,"1e-1",0.1,0.577777777777778,6
6,4,"RF",10,"1e-4",1e-04,0.793296089385475,6
6,4,"MultinomialLasso",10,"1e-4",1e-04,0.787709497206704,6
6,4,"Mahalanobis",10,"1e-4",1e-04,0.614525139664804,6
6,4,"RF",10,"1e-3",0.001,0.793296089385475,6
6,4,"MultinomialLasso",10,"1e-3",0.001,0.787709497206704,6
6,4,"Mahalanobis",10,"1e-3",0.001,0.614525139664804,6
6,4,"RF",10,"1e-2",0.01,0.793296089385475,6
6,4,"MultinomialLasso",10,"1e-2",0.01,0.787709497206704,6
6,4,"Mahalanobis",10,"1e-2",0.01,0.620111731843575,6
6,4,"RF",10,"1e-1",0.1,0.793296089385475,6
6,4,"MultinomialLasso",10,"1e-1",0.1,0.787709497206704,6
6,4,"Mahalanobis",10,"1e-1",0.1,0.620111731843575,6
6,5,"RF",10,"1e-4",1e-04,0.808988764044944,6
6,5,"MultinomialLasso",10,"1e-4",1e-04,0.803370786516854,6
6,5,"Mahalanobis",10,"1e-4",1e-04,0.49438202247191,6
6,5,"RF",10,"1e-3",0.001,0.814606741573034,6
6,5,"MultinomialLasso",10,"1e-3",0.001,0.803370786516854,6
6,5,"Mahalanobis",10,"1e-3",0.001,0.49438202247191,6
6,5,"RF",10,"1e-2",0.01,0.808988764044944,6
6,5,"MultinomialLasso",10,"1e-2",0.01,0.803370786516854,6
6,5,"Mahalanobis",10,"1e-2",0.01,0.49438202247191,6
6,5,"RF",10,"1e-1",0.1,0.820224719101124,6
6,5,"MultinomialLasso",10,"1e-1",0.1,0.803370786516854,6
6,5,"Mahalanobis",10,"1e-1",0.1,0.49438202247191,6
7,1,"RF",10,"1e-4",1e-04,0.78804347826087,6
7,1,"MultinomialLasso",10,"1e-4",1e-04,0.782608695652174,6
7,1,"Mahalanobis",10,"1e-4",1e-04,0.565217391304348,6
7,1,"RF",10,"1e-3",0.001,0.793478260869565,6
7,1,"MultinomialLasso",10,"1e-3",0.001,0.782608695652174,6
7,1,"Mahalanobis",10,"1e-3",0.001,0.570652173913043,6
