"repeat_id","outer_fold","inner_fold","t_end","lambda","log10_lambda","k_use","accuracy"
4,3,1,10,0.000166810053720006,-3.77777777777778,6,0.791946308724832
4,3,1,10,1e-04,-4,6,0.785234899328859
4,3,2,10,0.01,-2,6,0.714285714285714
4,3,2,10,0.00599484250318941,-2.22222222222222,6,0.714285714285714
4,3,2,10,0.00359381366380463,-2.44444444444444,6,0.741496598639456
4,3,2,10,0.00215443469003188,-2.66666666666667,6,0.761904761904762
4,3,2,10,0.00129154966501488,-2.88888888888889,6,0.761904761904762
4,3,2,10,0.000774263682681127,-3.11111111111111,6,0.761904761904762
4,3,2,10,0.000464158883361278,-3.33333333333333,6,0.768707482993197
4,3,2,10,0.000278255940220713,-3.55555555555556,6,0.775510204081633
4,3,2,10,0.000166810053720006,-3.77777777777778,6,0.775510204081633
4,3,2,10,1e-04,-4,6,0.782312925170068
4,3,3,10,0.01,-2,6,0.694444444444444
4,3,3,10,0.00599484250318941,-2.22222222222222,6,0.722222222222222
4,3,3,10,0.00359381366380463,-2.44444444444444,6,0.75
4,3,3,10,0.00215443469003188,-2.66666666666667,6,0.75
4,3,3,10,0.00129154966501488,-2.88888888888889,6,0.763888888888889
4,3,3,10,0.000774263682681127,-3.11111111111111,6,0.763888888888889
4,3,3,10,0.000464158883361278,-3.33333333333333,6,0.763888888888889
4,3,3,10,0.000278255940220713,-3.55555555555556,6,0.763888888888889
4,3,3,10,0.000166810053720006,-3.77777777777778,6,0.763888888888889
4,3,3,10,1e-04,-4,6,0.763888888888889
4,3,4,10,0.01,-2,6,0.73943661971831
4,3,4,10,0.00599484250318941,-2.22222222222222,6,0.73943661971831
4,3,4,10,0.00359381366380463,-2.44444444444444,6,0.767605633802817
4,3,4,10,0.00215443469003188,-2.66666666666667,6,0.76056338028169
4,3,4,10,0.00129154966501488,-2.88888888888889,6,0.78169014084507
4,3,4,10,0.000774263682681127,-3.11111111111111,6,0.774647887323944
4,3,4,10,0.000464158883361278,-3.33333333333333,6,0.767605633802817
4,3,4,10,0.000278255940220713,-3.55555555555556,6,0.767605633802817
4,3,4,10,0.000166810053720006,-3.77777777777778,6,0.76056338028169
4,3,4,10,1e-04,-4,6,0.76056338028169
4,3,5,10,0.01,-2,6,0.73943661971831
4,3,5,10,0.00599484250318941,-2.22222222222222,6,0.73943661971831
4,3,5,10,0.00359381366380463,-2.44444444444444,6,0.767605633802817
4,3,5,10,0.00215443469003188,-2.66666666666667,6,0.788732394366197
4,3,5,10,0.00129154966501488,-2.88888888888889,6,0.816901408450704
4,3,5,10,0.000774263682681127,-3.11111111111111,6,0.816901408450704
4,3,5,10,0.000464158883361278,-3.33333333333333,6,0.830985915492958
4,3,5,10,0.000278255940220713,-3.55555555555556,6,0.823943661971831
4,3,5,10,0.000166810053720006,-3.77777777777778,6,0.823943661971831
4,3,5,10,1e-04,-4,6,0.823943661971831
4,3,1,11,0.01,-2,7,0.704697986577181
4,3,1,11,0.00599484250318941,-2.22222222222222,7,0.758389261744966
4,3,1,11,0.00359381366380463,-2.44444444444444,7,0.771812080536913
4,3,1,11,0.00215443469003188,-2.66666666666667,7,0.771812080536913
4,3,1,11,0.00129154966501488,-2.88888888888889,7,0.785234899328859
4,3,1,11,0.000774263682681127,-3.11111111111111,7,0.778523489932886
4,3,1,11,0.000464158883361278,-3.33333333333333,7,0.778523489932886
4,3,1,11,0.000278255940220713,-3.55555555555556,7,0.778523489932886
4,3,1,11,0.000166810053720006,-3.77777777777778,7,0.785234899328859
4,3,1,11,1e-04,-4,7,0.785234899328859
4,3,2,11,0.01,-2,7,0.727891156462585
4,3,2,11,0.00599484250318941,-2.22222222222222,7,0.748299319727891
4,3,2,11,0.00359381366380463,-2.44444444444444,7,0.768707482993197
4,3,2,11,0.00215443469003188,-2.66666666666667,7,0.789115646258503
4,3,2,11,0.00129154966501488,-2.88888888888889,7,0.782312925170068
4,3,2,11,0.000774263682681127,-3.11111111111111,7,0.789115646258503
4,3,2,11,0.000464158883361278,-3.33333333333333,7,0.795918367346939
4,3,2,11,0.000278255940220713,-3.55555555555556,7,0.795918367346939
4,3,2,11,0.000166810053720006,-3.77777777777778,7,0.795918367346939
4,3,2,11,1e-04,-4,7,0.795918367346939
4,3,3,11,0.01,-2,7,0.722222222222222
4,3,3,11,0.00599484250318941,-2.22222222222222,7,0.715277777777778
4,3,3,11,0.00359381366380463,-2.44444444444444,7,0.75
4,3,3,11,0.00215443469003188,-2.66666666666667,7,0.756944444444444
4,3,3,11,0.00129154966501488,-2.88888888888889,7,0.777777777777778
4,3,3,11,0.000774263682681127,-3.11111111111111,7,0.777777777777778
4,3,3,11,0.000464158883361278,-3.33333333333333,7,0.777777777777778
4,3,3,11,0.000278255940220713,-3.55555555555556,7,0.777777777777778
4,3,3,11,0.000166810053720006,-3.77777777777778,7,0.763888888888889
4,3,3,11,1e-04,-4,7,0.756944444444444
4,3,4,11,0.01,-2,7,0.711267605633803
4,3,4,11,0.00599484250318941,-2.22222222222222,7,0.73943661971831
4,3,4,11,0.00359381366380463,-2.44444444444444,7,0.73943661971831
4,3,4,11,0.00215443469003188,-2.66666666666667,7,0.767605633802817
4,3,4,11,0.00129154966501488,-2.88888888888889,7,0.78169014084507
4,3,4,11,0.000774263682681127,-3.11111111111111,7,0.795774647887324
4,3,4,11,0.000464158883361278,-3.33333333333333,7,0.795774647887324
4,3,4,11,0.000278255940220713,-3.55555555555556,7,0.788732394366197
4,3,4,11,0.000166810053720006,-3.77777777777778,7,0.788732394366197
4,3,4,11,1e-04,-4,7,0.788732394366197
4,3,5,11,0.01,-2,7,0.725352112676056
4,3,5,11,0.00599484250318941,-2.22222222222222,7,0.76056338028169
4,3,5,11,0.00359381366380463,-2.44444444444444,7,0.774647887323944
