"t_end","fold","classifier","accuracy","k_use"
10.2,3,"RF",0.783333333333333,6
10.2,3,"MultinomialLasso",0.744444444444444,6
10.2,3,"Mahalanobis",0.533333333333333,6
10.2,4,"RF",0.776536312849162,6
10.2,4,"MultinomialLasso",0.826815642458101,6
10.2,4,"Mahalanobis",0.486033519553073,6
10.2,5,"RF",0.803370786516854,7
10.2,5,"MultinomialLasso",0.775280898876405,7
10.2,5,"Mahalanobis",0.617977528089888,7
10.4,1,"RF",0.75,6
10.4,1,"MultinomialLasso",0.755434782608696,6
10.4,1,"Mahalanobis",0.630434782608696,6
10.4,2,"RF",0.792349726775956,6
10.4,2,"MultinomialLasso",0.808743169398907,6
10.4,2,"Mahalanobis",0.573770491803279,6
10.4,3,"RF",0.788888888888889,6
10.4,3,"MultinomialLasso",0.744444444444444,6
10.4,3,"Mahalanobis",0.538888888888889,6
10.4,4,"RF",0.776536312849162,6
10.4,4,"MultinomialLasso",0.832402234636871,6
10.4,4,"Mahalanobis",0.480446927374302,6
10.4,5,"RF",0.814606741573034,7
10.4,5,"MultinomialLasso",0.769662921348315,7
10.4,5,"Mahalanobis",0.617977528089888,7
10.6,1,"RF",0.75,6
10.6,1,"MultinomialLasso",0.744565217391304,6
10.6,1,"Mahalanobis",0.619565217391304,6
10.6,2,"RF",0.797814207650273,7
10.6,2,"MultinomialLasso",0.797814207650273,7
10.6,2,"Mahalanobis",0.568306010928962,7
10.6,3,"RF",0.766666666666667,7
10.6,3,"MultinomialLasso",0.772222222222222,7
10.6,3,"Mahalanobis",0.544444444444444,7
10.6,4,"RF",0.754189944134078,7
10.6,4,"MultinomialLasso",0.832402234636871,7
10.6,4,"Mahalanobis",0.502793296089385,7
10.6,5,"RF",0.786516853932584,7
10.6,5,"MultinomialLasso",0.769662921348315,7
10.6,5,"Mahalanobis",0.606741573033708,7
10.8,1,"RF",0.739130434782609,7
10.8,1,"MultinomialLasso",0.744565217391304,7
10.8,1,"Mahalanobis",0.614130434782609,7
10.8,2,"RF",0.797814207650273,7
10.8,2,"MultinomialLasso",0.80327868852459,7
10.8,2,"Mahalanobis",0.562841530054645,7
10.8,3,"RF",0.783333333333333,7
10.8,3,"MultinomialLasso",0.772222222222222,7
10.8,3,"Mahalanobis",0.544444444444444,7
10.8,4,"RF",0.776536312849162,7
10.8,4,"MultinomialLasso",0.837988826815642,7
10.8,4,"Mahalanobis",0.502793296089385,7
10.8,5,"RF",0.775280898876405,7
10.8,5,"MultinomialLasso",0.775280898876405,7
10.8,5,"Mahalanobis",0.601123595505618,7
11,1,"RF",0.744565217391304,7
11,1,"MultinomialLasso",0.75,7
11,1,"Mahalanobis",0.619565217391304,7
11,2,"RF",0.786885245901639,7
11,2,"MultinomialLasso",0.797814207650273,7
11,2,"Mahalanobis",0.568306010928962,7
11,3,"RF",0.777777777777778,7
11,3,"MultinomialLasso",0.761111111111111,7
11,3,"Mahalanobis",0.544444444444444,7
11,4,"RF",0.782122905027933,7
11,4,"MultinomialLasso",0.837988826815642,7
11,4,"Mahalanobis",0.502793296089385,7
11,5,"RF",0.803370786516854,7
11,5,"MultinomialLasso",0.775280898876405,7
11,5,"Mahalanobis",0.601123595505618,7
11.2,1,"RF",0.739130434782609,7
11.2,1,"MultinomialLasso",0.75,7
11.2,1,"Mahalanobis",0.619565217391304,7
11.2,2,"RF",0.792349726775956,7
11.2,2,"MultinomialLasso",0.792349726775956,7
11.2,2,"Mahalanobis",0.562841530054645,7
11.2,3,"RF",0.755555555555556,7
11.2,3,"MultinomialLasso",0.783333333333333,7
11.2,3,"Mahalanobis",0.538888888888889,7
11.2,4,"RF",0.776536312849162,7
11.2,4,"MultinomialLasso",0.837988826815642,7
11.2,4,"Mahalanobis",0.508379888268156,7
11.2,5,"RF",0.814606741573034,7
11.2,5,"MultinomialLasso",0.780898876404494,7
11.2,5,"Mahalanobis",0.589887640449438,7
11.4,1,"RF",0.744565217391304,7
11.4,1,"MultinomialLasso",0.75,7
11.4,1,"Mahalanobis",0.619565217391304,7
11.4,2,"RF",0.792349726775956,7
11.4,2,"MultinomialLasso",0.786885245901639,7
11.4,2,"Mahalanobis",0.557377049180328,7
11.4,3,"RF",0.75,7
11.4,3,"MultinomialLasso",0.783333333333333,7
11.4,3,"Mahalanobis",0.533333333333333,7
11.4,4,"RF",0.782122905027933,7
11.4,4,"MultinomialLasso",0.837988826815642,7
11.4,4,"Mahalanobis",0.508379888268156,7
11.4,5,"RF",0.820224719101124,7
11.4,5,"MultinomialLasso",0.780898876404494,7
11.4,5,"Mahalanobis",0.601123595505618,7
11.6,1,"RF",0.728260869565217,7
11.6,1,"MultinomialLasso",0.739130434782609,7
11.6,1,"Mahalanobis",0.614130434782609,7
11.6,2,"RF",0.797814207650273,7
11.6,2,"MultinomialLasso",0.792349726775956,7
11.6,2,"Mahalanobis",0.551912568306011,7
11.6,3,"RF",0.75,7
11.6,3,"MultinomialLasso",0.772222222222222,7
11.6,3,"Mahalanobis",0.538888888888889,7
11.6,4,"RF",0.776536312849162,7
11.6,4,"MultinomialLasso",0.837988826815642,7
11.6,4,"Mahalanobis",0.519553072625698,7
11.6,5,"RF",0.803370786516854,7
11.6,5,"MultinomialLasso",0.780898876404494,7
11.6,5,"Mahalanobis",0.606741573033708,7
11.8,1,"RF",0.717391304347826,7
11.8,1,"MultinomialLasso",0.744565217391304,7
11.8,1,"Mahalanobis",0.614130434782609,7
11.8,2,"RF",0.792349726775956,7
11.8,2,"MultinomialLasso",0.786885245901639,7
11.8,2,"Mahalanobis",0.546448087431694,7
11.8,3,"RF",0.761111111111111,7
11.8,3,"MultinomialLasso",0.777777777777778,7
11.8,3,"Mahalanobis",0.538888888888889,7
