"repeat_id","outer_fold","inner_fold","t_end","num.trees","mtry_rule","min.node.size","k_use","mtry","accuracy"
1,1,4,17,400,"floor_sqrt_p",2,8,2,0.732394366197183
1,1,4,17,400,"floor_sqrt_p",5,8,2,0.73943661971831
1,1,4,17,400,"floor_sqrt_p",7,8,2,0.73943661971831
1,1,5,17,400,"floor_sqrt_p",2,9,3,0.730496453900709
1,1,5,17,400,"floor_sqrt_p",5,9,3,0.73758865248227
1,1,5,17,400,"floor_sqrt_p",7,9,3,0.74468085106383
1,1,1,18,400,"floor_sqrt_p",2,9,3,0.72108843537415
1,1,1,18,400,"floor_sqrt_p",5,9,3,0.727891156462585
1,1,1,18,400,"floor_sqrt_p",7,9,3,0.693877551020408
1,1,2,18,400,"floor_sqrt_p",2,9,3,0.787671232876712
1,1,2,18,400,"floor_sqrt_p",5,9,3,0.801369863013699
1,1,2,18,400,"floor_sqrt_p",7,9,3,0.794520547945205
1,1,3,18,400,"floor_sqrt_p",2,9,3,0.763888888888889
1,1,3,18,400,"floor_sqrt_p",5,9,3,0.777777777777778
1,1,3,18,400,"floor_sqrt_p",7,9,3,0.770833333333333
1,1,4,18,400,"floor_sqrt_p",2,9,3,0.711267605633803
1,1,4,18,400,"floor_sqrt_p",5,9,3,0.704225352112676
1,1,4,18,400,"floor_sqrt_p",7,9,3,0.71830985915493
1,1,5,18,400,"floor_sqrt_p",2,9,3,0.74468085106383
1,1,5,18,400,"floor_sqrt_p",5,9,3,0.730496453900709
1,1,5,18,400,"floor_sqrt_p",7,9,3,0.73758865248227
1,1,1,19,400,"floor_sqrt_p",2,9,3,0.714285714285714
1,1,1,19,400,"floor_sqrt_p",5,9,3,0.73469387755102
1,1,1,19,400,"floor_sqrt_p",7,9,3,0.72108843537415
1,1,2,19,400,"floor_sqrt_p",2,9,3,0.787671232876712
1,1,2,19,400,"floor_sqrt_p",5,9,3,0.801369863013699
1,1,2,19,400,"floor_sqrt_p",7,9,3,0.801369863013699
1,1,3,19,400,"floor_sqrt_p",2,10,3,0.770833333333333
1,1,3,19,400,"floor_sqrt_p",5,10,3,0.777777777777778
1,1,3,19,400,"floor_sqrt_p",7,10,3,0.770833333333333
1,1,4,19,400,"floor_sqrt_p",2,9,3,0.71830985915493
1,1,4,19,400,"floor_sqrt_p",5,9,3,0.711267605633803
1,1,4,19,400,"floor_sqrt_p",7,9,3,0.71830985915493
1,1,5,19,400,"floor_sqrt_p",2,9,3,0.716312056737589
1,1,5,19,400,"floor_sqrt_p",5,9,3,0.730496453900709
1,1,5,19,400,"floor_sqrt_p",7,9,3,0.730496453900709
1,1,1,20,400,"floor_sqrt_p",2,10,3,0.700680272108844
1,1,1,20,400,"floor_sqrt_p",5,10,3,0.700680272108844
1,1,1,20,400,"floor_sqrt_p",7,10,3,0.693877551020408
1,1,2,20,400,"floor_sqrt_p",2,10,3,0.794520547945205
1,1,2,20,400,"floor_sqrt_p",5,10,3,0.787671232876712
1,1,2,20,400,"floor_sqrt_p",7,10,3,0.787671232876712
1,1,3,20,400,"floor_sqrt_p",2,10,3,0.784722222222222
1,1,3,20,400,"floor_sqrt_p",5,10,3,0.763888888888889
1,1,3,20,400,"floor_sqrt_p",7,10,3,0.75
1,1,4,20,400,"floor_sqrt_p",2,10,3,0.76056338028169
1,1,4,20,400,"floor_sqrt_p",5,10,3,0.753521126760563
1,1,4,20,400,"floor_sqrt_p",7,10,3,0.732394366197183
1,1,5,20,400,"floor_sqrt_p",2,10,3,0.730496453900709
1,1,5,20,400,"floor_sqrt_p",5,10,3,0.709219858156028
1,1,5,20,400,"floor_sqrt_p",7,10,3,0.716312056737589
1,2,1,6,400,"floor_sqrt_p",2,4,2,0.689189189189189
1,2,1,6,400,"floor_sqrt_p",5,4,2,0.702702702702703
1,2,1,6,400,"floor_sqrt_p",7,4,2,0.682432432432432
1,2,2,6,400,"floor_sqrt_p",2,4,2,0.732876712328767
1,2,2,6,400,"floor_sqrt_p",5,4,2,0.726027397260274
1,2,2,6,400,"floor_sqrt_p",7,4,2,0.73972602739726
1,2,3,6,400,"floor_sqrt_p",2,4,2,0.736111111111111
1,2,3,6,400,"floor_sqrt_p",5,4,2,0.715277777777778
1,2,3,6,400,"floor_sqrt_p",7,4,2,0.722222222222222
1,2,4,6,400,"floor_sqrt_p",2,4,2,0.753521126760563
1,2,4,6,400,"floor_sqrt_p",5,4,2,0.753521126760563
1,2,4,6,400,"floor_sqrt_p",7,4,2,0.76056338028169
1,2,5,6,400,"floor_sqrt_p",2,4,2,0.716312056737589
1,2,5,6,400,"floor_sqrt_p",5,4,2,0.702127659574468
1,2,5,6,400,"floor_sqrt_p",7,4,2,0.716312056737589
1,2,1,7,400,"floor_sqrt_p",2,5,2,0.743243243243243
1,2,1,7,400,"floor_sqrt_p",5,5,2,0.722972972972973
1,2,1,7,400,"floor_sqrt_p",7,5,2,0.722972972972973
1,2,2,7,400,"floor_sqrt_p",2,5,2,0.73972602739726
1,2,2,7,400,"floor_sqrt_p",5,5,2,0.73972602739726
1,2,2,7,400,"floor_sqrt_p",7,5,2,0.746575342465753
1,2,3,7,400,"floor_sqrt_p",2,5,2,0.715277777777778
1,2,3,7,400,"floor_sqrt_p",5,5,2,0.736111111111111
1,2,3,7,400,"floor_sqrt_p",7,5,2,0.729166666666667
1,2,4,7,400,"floor_sqrt_p",2,5,2,0.788732394366197
1,2,4,7,400,"floor_sqrt_p",5,5,2,0.788732394366197
1,2,4,7,400,"floor_sqrt_p",7,5,2,0.795774647887324
1,2,5,7,400,"floor_sqrt_p",2,5,2,0.73758865248227
1,2,5,7,400,"floor_sqrt_p",5,5,2,0.73758865248227
1,2,5,7,400,"floor_sqrt_p",7,5,2,0.730496453900709
1,2,1,8,400,"floor_sqrt_p",2,5,2,0.75
1,2,1,8,400,"floor_sqrt_p",5,5,2,0.743243243243243
1,2,1,8,400,"floor_sqrt_p",7,5,2,0.743243243243243
1,2,2,8,400,"floor_sqrt_p",2,5,2,0.787671232876712
1,2,2,8,400,"floor_sqrt_p",5,5,2,0.780821917808219
1,2,2,8,400,"floor_sqrt_p",7,5,2,0.787671232876712
1,2,3,8,400,"floor_sqrt_p",2,5,2,0.763888888888889
1,2,3,8,400,"floor_sqrt_p",5,5,2,0.770833333333333
1,2,3,8,400,"floor_sqrt_p",7,5,2,0.763888888888889
1,2,4,8,400,"floor_sqrt_p",2,5,2,0.795774647887324
1,2,4,8,400,"floor_sqrt_p",5,5,2,0.795774647887324
1,2,4,8,400,"floor_sqrt_p",7,5,2,0.795774647887324
1,2,5,8,400,"floor_sqrt_p",2,5,2,0.74468085106383
1,2,5,8,400,"floor_sqrt_p",5,5,2,0.780141843971631
1,2,5,8,400,"floor_sqrt_p",7,5,2,0.765957446808511
1,2,1,9,400,"floor_sqrt_p",2,6,2,0.77027027027027
1,2,1,9,400,"floor_sqrt_p",5,6,2,0.77027027027027
1,2,1,9,400,"floor_sqrt_p",7,6,2,0.777027027027027
1,2,2,9,400,"floor_sqrt_p",2,6,2,0.767123287671233
1,2,2,9,400,"floor_sqrt_p",5,6,2,0.767123287671233
1,2,2,9,400,"floor_sqrt_p",7,6,2,0.76027397260274
1,2,3,9,400,"floor_sqrt_p",2,6,2,0.805555555555556
1,2,3,9,400,"floor_sqrt_p",5,6,2,0.8125
1,2,3,9,400,"floor_sqrt_p",7,6,2,0.791666666666667
1,2,4,9,400,"floor_sqrt_p",2,6,2,0.802816901408451
1,2,4,9,400,"floor_sqrt_p",5,6,2,0.816901408450704
1,2,4,9,400,"floor_sqrt_p",7,6,2,0.795774647887324
1,2,5,9,400,"floor_sqrt_p",2,6,2,0.787234042553192
1,2,5,9,400,"floor_sqrt_p",5,6,2,0.787234042553192
1,2,5,9,400,"floor_sqrt_p",7,6,2,0.801418439716312
1,2,1,10,400,"floor_sqrt_p",2,6,2,0.763513513513513
1,2,1,10,400,"floor_sqrt_p",5,6,2,0.77027027027027
1,2,1,10,400,"floor_sqrt_p",7,6,2,0.763513513513513
1,2,2,10,400,"floor_sqrt_p",2,6,2,0.76027397260274
1,2,2,10,400,"floor_sqrt_p",5,6,2,0.76027397260274
1,2,2,10,400,"floor_sqrt_p",7,6,2,0.746575342465753
1,2,3,10,400,"floor_sqrt_p",2,6,2,0.784722222222222
1,2,3,10,400,"floor_sqrt_p",5,6,2,0.784722222222222
1,2,3,10,400,"floor_sqrt_p",7,6,2,0.777777777777778
1,2,4,10,400,"floor_sqrt_p",2,6,2,0.788732394366197
1,2,4,10,400,"floor_sqrt_p",5,6,2,0.774647887323944
1,2,4,10,400,"floor_sqrt_p",7,6,2,0.795774647887324
1,2,5,10,400,"floor_sqrt_p",2,6,2,0.801418439716312
1,2,5,10,400,"floor_sqrt_p",5,6,2,0.787234042553192
1,2,5,10,400,"floor_sqrt_p",7,6,2,0.773049645390071
1,2,1,11,400,"floor_sqrt_p",2,7,2,0.756756756756757
1,2,1,11,400,"floor_sqrt_p",5,7,2,0.75
1,2,1,11,400,"floor_sqrt_p",7,7,2,0.75
1,2,2,11,400,"floor_sqrt_p",2,7,2,0.801369863013699
1,2,2,11,400,"floor_sqrt_p",5,7,2,0.773972602739726
1,2,2,11,400,"floor_sqrt_p",7,7,2,0.780821917808219
1,2,3,11,400,"floor_sqrt_p",2,7,2,0.763888888888889
1,2,3,11,400,"floor_sqrt_p",5,7,2,0.784722222222222
1,2,3,11,400,"floor_sqrt_p",7,7,2,0.763888888888889
1,2,4,11,400,"floor_sqrt_p",2,7,2,0.774647887323944
1,2,4,11,400,"floor_sqrt_p",5,7,2,0.795774647887324
1,2,4,11,400,"floor_sqrt_p",7,7,2,0.774647887323944
1,2,5,11,400,"floor_sqrt_p",2,7,2,0.773049645390071
1,2,5,11,400,"floor_sqrt_p",5,7,2,0.773049645390071
1,2,5,11,400,"floor_sqrt_p",7,7,2,0.773049645390071
1,2,1,12,400,"floor_sqrt_p",2,7,2,0.702702702702703
1,2,1,12,400,"floor_sqrt_p",5,7,2,0.716216216216216
1,2,1,12,400,"floor_sqrt_p",7,7,2,0.722972972972973
1,2,2,12,400,"floor_sqrt_p",2,7,2,0.753424657534247
1,2,2,12,400,"floor_sqrt_p",5,7,2,0.76027397260274
1,2,2,12,400,"floor_sqrt_p",7,7,2,0.773972602739726
1,2,3,12,400,"floor_sqrt_p",2,7,2,0.736111111111111
1,2,3,12,400,"floor_sqrt_p",5,7,2,0.756944444444444
1,2,3,12,400,"floor_sqrt_p",7,7,2,0.756944444444444
1,2,4,12,400,"floor_sqrt_p",2,7,2,0.753521126760563
1,2,4,12,400,"floor_sqrt_p",5,7,2,0.746478873239437
1,2,4,12,400,"floor_sqrt_p",7,7,2,0.746478873239437
1,2,5,12,400,"floor_sqrt_p",2,7,2,0.787234042553192
1,2,5,12,400,"floor_sqrt_p",5,7,2,0.787234042553192
1,2,5,12,400,"floor_sqrt_p",7,7,2,0.773049645390071
1,2,1,13,400,"floor_sqrt_p",2,7,2,0.716216216216216
1,2,1,13,400,"floor_sqrt_p",5,7,2,0.722972972972973
1,2,1,13,400,"floor_sqrt_p",7,7,2,0.709459459459459
1,2,2,13,400,"floor_sqrt_p",2,7,2,0.773972602739726
1,2,2,13,400,"floor_sqrt_p",5,7,2,0.76027397260274
1,2,2,13,400,"floor_sqrt_p",7,7,2,0.787671232876712
1,2,3,13,400,"floor_sqrt_p",2,7,2,0.729166666666667
1,2,3,13,400,"floor_sqrt_p",5,7,2,0.729166666666667
1,2,3,13,400,"floor_sqrt_p",7,7,2,0.729166666666667
1,2,4,13,400,"floor_sqrt_p",2,7,2,0.78169014084507
1,2,4,13,400,"floor_sqrt_p",5,7,2,0.78169014084507
1,2,4,13,400,"floor_sqrt_p",7,7,2,0.76056338028169
1,2,5,13,400,"floor_sqrt_p",2,7,2,0.780141843971631
1,2,5,13,400,"floor_sqrt_p",5,7,2,0.787234042553192
1,2,5,13,400,"floor_sqrt_p",7,7,2,0.780141843971631
1,2,1,14,400,"floor_sqrt_p",2,8,2,0.709459459459459
1,2,1,14,400,"floor_sqrt_p",5,8,2,0.702702702702703
1,2,1,14,400,"floor_sqrt_p",7,8,2,0.695945945945946
1,2,2,14,400,"floor_sqrt_p",2,8,2,0.787671232876712
1,2,2,14,400,"floor_sqrt_p",5,8,2,0.794520547945205
1,2,2,14,400,"floor_sqrt_p",7,8,2,0.801369863013699
