"repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
4,5,5,16,1e-06,-6,8,0.542253521126761
4,5,1,17,1e-06,-6,9,0.610738255033557
4,5,2,17,1e-06,-6,9,0.598639455782313
4,5,3,17,1e-06,-6,9,0.6
4,5,4,17,1e-06,-6,9,0.608391608391608
4,5,5,17,1e-06,-6,9,0.528169014084507
4,5,1,18,1e-06,-6,9,0.604026845637584
4,5,2,18,1e-06,-6,10,0.605442176870748
4,5,3,18,1e-06,-6,9,0.606896551724138
4,5,4,18,1e-06,-6,9,0.601398601398601
4,5,5,18,1e-06,-6,9,0.52112676056338
4,5,1,19,1e-06,-6,10,0.597315436241611
4,5,2,19,1e-06,-6,10,0.585034013605442
4,5,3,19,1e-06,-6,10,0.579310344827586
4,5,4,19,1e-06,-6,10,0.601398601398601
4,5,5,19,1e-06,-6,10,0.535211267605634
4,5,1,20,1e-06,-6,10,0.597315436241611
4,5,2,20,1e-06,-6,10,0.585034013605442
4,5,3,20,1e-06,-6,10,0.593103448275862
4,5,4,20,1e-06,-6,10,0.58041958041958
4,5,5,20,1e-06,-6,10,0.52112676056338
5,1,1,6,1e-06,-6,4,0.591836734693878
5,1,2,6,1e-06,-6,4,0.678082191780822
5,1,3,6,1e-06,-6,4,0.618055555555556
5,1,4,6,1e-06,-6,4,0.591549295774648
5,1,5,6,1e-06,-6,4,0.588652482269504
5,1,1,7,1e-06,-6,5,0.591836734693878
5,1,2,7,1e-06,-6,5,0.664383561643836
5,1,3,7,1e-06,-6,5,0.638888888888889
5,1,4,7,1e-06,-6,5,0.598591549295775
5,1,5,7,1e-06,-6,5,0.581560283687943
5,1,1,8,1e-06,-6,5,0.571428571428571
5,1,2,8,1e-06,-6,5,0.664383561643836
5,1,3,8,1e-06,-6,5,0.638888888888889
5,1,4,8,1e-06,-6,5,0.570422535211268
5,1,5,8,1e-06,-6,5,0.560283687943262
5,1,1,9,1e-06,-6,6,0.571428571428571
5,1,2,9,1e-06,-6,6,0.657534246575342
5,1,3,9,1e-06,-6,6,0.652777777777778
5,1,4,9,1e-06,-6,6,0.605633802816901
5,1,5,9,1e-06,-6,6,0.524822695035461
5,1,1,10,1e-06,-6,6,0.557823129251701
5,1,2,10,1e-06,-6,6,0.671232876712329
5,1,3,10,1e-06,-6,6,0.645833333333333
5,1,4,10,1e-06,-6,6,0.598591549295775
5,1,5,10,1e-06,-6,6,0.51063829787234
5,1,1,11,1e-06,-6,7,0.585034013605442
5,1,2,11,1e-06,-6,7,0.595890410958904
5,1,3,11,1e-06,-6,7,0.673611111111111
5,1,4,11,1e-06,-6,7,0.563380281690141
5,1,5,11,1e-06,-6,7,0.48936170212766
5,1,1,12,1e-06,-6,7,0.564625850340136
5,1,2,12,1e-06,-6,7,0.582191780821918
5,1,3,12,1e-06,-6,7,0.645833333333333
5,1,4,12,1e-06,-6,7,0.563380281690141
5,1,5,12,1e-06,-6,7,0.48936170212766
5,1,1,13,1e-06,-6,7,0.517006802721088
5,1,2,13,1e-06,-6,7,0.561643835616438
5,1,3,13,1e-06,-6,7,0.631944444444444
5,1,4,13,1e-06,-6,7,0.535211267605634
5,1,5,13,1e-06,-6,7,0.51063829787234
5,1,1,14,1e-06,-6,8,0.551020408163265
5,1,2,14,1e-06,-6,8,0.561643835616438
5,1,3,14,1e-06,-6,8,0.597222222222222
5,1,4,14,1e-06,-6,8,0.563380281690141
5,1,5,14,1e-06,-6,8,0.50354609929078
5,1,1,15,1e-06,-6,8,0.530612244897959
5,1,2,15,1e-06,-6,8,0.541095890410959
5,1,3,15,1e-06,-6,8,0.618055555555556
5,1,4,15,1e-06,-6,8,0.584507042253521
5,1,5,15,1e-06,-6,8,0.50354609929078
5,1,1,16,1e-06,-6,8,0.537414965986395
5,1,2,16,1e-06,-6,8,0.568493150684932
5,1,3,16,1e-06,-6,9,0.652777777777778
5,1,4,16,1e-06,-6,8,0.570422535211268
5,1,5,16,1e-06,-6,8,0.51063829787234
5,1,1,17,1e-06,-6,9,0.54421768707483
5,1,2,17,1e-06,-6,9,0.541095890410959
5,1,3,17,1e-06,-6,9,0.645833333333333
5,1,4,17,1e-06,-6,9,0.619718309859155
5,1,5,17,1e-06,-6,9,0.531914893617021
5,1,1,18,1e-06,-6,9,0.530612244897959
5,1,2,18,1e-06,-6,9,0.541095890410959
5,1,3,18,1e-06,-6,9,0.625
5,1,4,18,1e-06,-6,9,0.598591549295775
5,1,5,18,1e-06,-6,9,0.517730496453901
5,1,1,19,1e-06,-6,10,0.530612244897959
5,1,2,19,1e-06,-6,10,0.527397260273973
5,1,3,19,1e-06,-6,10,0.590277777777778
5,1,4,19,1e-06,-6,10,0.612676056338028
5,1,5,19,1e-06,-6,10,0.517730496453901
5,1,1,20,1e-06,-6,10,0.503401360544218
5,1,2,20,1e-06,-6,10,0.527397260273973
5,1,3,20,1e-06,-6,10,0.590277777777778
5,1,4,20,1e-06,-6,10,0.598591549295775
5,1,5,20,1e-06,-6,10,0.531914893617021
5,2,1,6,1e-06,-6,4,0.594594594594595
5,2,2,6,1e-06,-6,4,0.623287671232877
5,2,3,6,1e-06,-6,4,0.604166666666667
5,2,4,6,1e-06,-6,4,0.584507042253521
5,2,5,6,1e-06,-6,4,0.553191489361702
5,2,1,7,1e-06,-6,5,0.574324324324324
5,2,2,7,1e-06,-6,5,0.616438356164384
5,2,3,7,1e-06,-6,5,0.5625
5,2,4,7,1e-06,-6,5,0.605633802816901
5,2,5,7,1e-06,-6,5,0.595744680851064
5,2,1,8,1e-06,-6,5,0.608108108108108
5,2,2,8,1e-06,-6,5,0.623287671232877
5,2,3,8,1e-06,-6,5,0.5625
5,2,4,8,1e-06,-6,5,0.619718309859155
5,2,5,8,1e-06,-6,5,0.574468085106383
5,2,1,9,1e-06,-6,6,0.560810810810811
5,2,2,9,1e-06,-6,6,0.582191780821918
5,2,3,9,1e-06,-6,6,0.541666666666667
5,2,4,9,1e-06,-6,6,0.619718309859155
5,2,5,9,1e-06,-6,6,0.574468085106383
5,2,1,10,1e-06,-6,6,0.554054054054054
5,2,2,10,1e-06,-6,6,0.568493150684932
5,2,3,10,1e-06,-6,6,0.555555555555556
5,2,4,10,1e-06,-6,6,0.598591549295775
5,2,5,10,1e-06,-6,6,0.567375886524823
5,2,1,11,1e-06,-6,7,0.560810810810811
5,2,2,11,1e-06,-6,7,0.554794520547945
5,2,3,11,1e-06,-6,7,0.555555555555556
5,2,4,11,1e-06,-6,7,0.577464788732394
5,2,5,11,1e-06,-6,7,0.553191489361702
5,2,1,12,1e-06,-6,7,0.533783783783784
5,2,2,12,1e-06,-6,7,0.561643835616438
5,2,3,12,1e-06,-6,7,0.5625
5,2,4,12,1e-06,-6,7,0.605633802816901
5,2,5,12,1e-06,-6,7,0.539007092198582
5,2,1,13,1e-06,-6,7,0.547297297297297
5,2,2,13,1e-06,-6,7,0.554794520547945
5,2,3,13,1e-06,-6,7,0.583333333333333
5,2,4,13,1e-06,-6,7,0.626760563380282
5,2,5,13,1e-06,-6,7,0.539007092198582
5,2,1,14,1e-06,-6,8,0.52027027027027
5,2,2,14,1e-06,-6,8,0.547945205479452
5,2,3,14,1e-06,-6,8,0.555555555555556
5,2,4,14,1e-06,-6,8,0.640845070422535
5,2,5,14,1e-06,-6,8,0.524822695035461
5,2,1,15,1e-06,-6,8,0.540540540540541
5,2,2,15,1e-06,-6,8,0.575342465753425
5,2,3,15,1e-06,-6,8,0.548611111111111
5,2,4,15,1e-06,-6,8,0.633802816901408
5,2,5,15,1e-06,-6,8,0.49645390070922
5,2,1,16,1e-06,-6,8,0.554054054054054
5,2,2,16,1e-06,-6,9,0.547945205479452
5,2,3,16,1e-06,-6,8,0.569444444444444
5,2,4,16,1e-06,-6,8,0.647887323943662
5,2,5,16,1e-06,-6,8,0.49645390070922
5,2,1,17,1e-06,-6,9,0.567567567567568
5,2,2,17,1e-06,-6,9,0.554794520547945
5,2,3,17,1e-06,-6,9,0.541666666666667
5,2,4,17,1e-06,-6,9,0.633802816901408
5,2,5,17,1e-06,-6,9,0.531914893617021
5,2,1,18,1e-06,-6,9,0.560810810810811
5,2,2,18,1e-06,-6,10,0.568493150684932
5,2,3,18,1e-06,-6,9,0.548611111111111
5,2,4,18,1e-06,-6,9,0.605633802816901
5,2,5,18,1e-06,-6,9,0.531914893617021
5,2,1,19,1e-06,-6,10,0.554054054054054
5,2,2,19,1e-06,-6,10,0.541095890410959
5,2,3,19,1e-06,-6,9,0.569444444444444
5,2,4,19,1e-06,-6,10,0.598591549295775
5,2,5,19,1e-06,-6,10,0.50354609929078
5,2,1,20,1e-06,-6,10,0.574324324324324
5,2,2,20,1e-06,-6,10,0.541095890410959
