"threshold","repeat_id","fold_id","feature_set","classifier","accuracy"
5.3,8,3,"ILR_CDPA","MultinomialLasso",0.716666666666667
5.3,8,3,"ILR_CDPA","Mahalanobis",0.577777777777778
5.3,8,3,"ILR_only","RF",0.477777777777778
5.3,8,3,"ILR_only","MultinomialLasso",0.488888888888889
5.3,8,3,"ILR_only","Mahalanobis",0.444444444444444
5.3,8,3,"CDPA_only","RF",0.733333333333333
5.3,8,3,"CDPA_only","MultinomialLasso",0.694444444444444
5.3,8,3,"CDPA_only","Mahalanobis",0.5
5.3,8,4,"ILR_CDPA","RF",0.798882681564246
5.3,8,4,"ILR_CDPA","MultinomialLasso",0.793296089385475
5.3,8,4,"ILR_CDPA","Mahalanobis",0.653631284916201
5.3,8,4,"ILR_only","RF",0.541899441340782
5.3,8,4,"ILR_only","MultinomialLasso",0.486033519553073
5.3,8,4,"ILR_only","Mahalanobis",0.430167597765363
5.3,8,4,"CDPA_only","RF",0.731843575418994
5.3,8,4,"CDPA_only","MultinomialLasso",0.754189944134078
5.3,8,4,"CDPA_only","Mahalanobis",0.58659217877095
5.3,8,5,"ILR_CDPA","RF",0.730337078651685
5.3,8,5,"ILR_CDPA","MultinomialLasso",0.679775280898876
5.3,8,5,"ILR_CDPA","Mahalanobis",0.550561797752809
5.3,8,5,"ILR_only","RF",0.449438202247191
5.3,8,5,"ILR_only","MultinomialLasso",0.471910112359551
5.3,8,5,"ILR_only","Mahalanobis",0.426966292134831
5.3,8,5,"CDPA_only","RF",0.691011235955056
5.3,8,5,"CDPA_only","MultinomialLasso",0.657303370786517
5.3,8,5,"CDPA_only","Mahalanobis",0.49438202247191
5.3,9,1,"ILR_CDPA","RF",0.760869565217391
5.3,9,1,"ILR_CDPA","MultinomialLasso",0.733695652173913
5.3,9,1,"ILR_CDPA","Mahalanobis",0.581521739130435
5.3,9,1,"ILR_only","RF",0.494565217391304
5.3,9,1,"ILR_only","MultinomialLasso",0.467391304347826
5.3,9,1,"ILR_only","Mahalanobis",0.445652173913043
5.3,9,1,"CDPA_only","RF",0.739130434782609
5.3,9,1,"CDPA_only","MultinomialLasso",0.701086956521739
5.3,9,1,"CDPA_only","Mahalanobis",0.559782608695652
5.3,9,2,"ILR_CDPA","RF",0.726775956284153
5.3,9,2,"ILR_CDPA","MultinomialLasso",0.699453551912568
5.3,9,2,"ILR_CDPA","Mahalanobis",0.53551912568306
5.3,9,2,"ILR_only","RF",0.475409836065574
5.3,9,2,"ILR_only","MultinomialLasso",0.459016393442623
5.3,9,2,"ILR_only","Mahalanobis",0.360655737704918
5.3,9,2,"CDPA_only","RF",0.704918032786885
5.3,9,2,"CDPA_only","MultinomialLasso",0.672131147540984
5.3,9,2,"CDPA_only","Mahalanobis",0.442622950819672
5.3,9,3,"ILR_CDPA","RF",0.727777777777778
5.3,9,3,"ILR_CDPA","MultinomialLasso",0.744444444444444
5.3,9,3,"ILR_CDPA","Mahalanobis",0.577777777777778
5.3,9,3,"ILR_only","RF",0.5
5.3,9,3,"ILR_only","MultinomialLasso",0.466666666666667
5.3,9,3,"ILR_only","Mahalanobis",0.411111111111111
5.3,9,3,"CDPA_only","RF",0.722222222222222
5.3,9,3,"CDPA_only","MultinomialLasso",0.716666666666667
5.3,9,3,"CDPA_only","Mahalanobis",0.561111111111111
5.3,9,4,"ILR_CDPA","RF",0.770949720670391
5.3,9,4,"ILR_CDPA","MultinomialLasso",0.748603351955307
5.3,9,4,"ILR_CDPA","Mahalanobis",0.620111731843575
5.3,9,4,"ILR_only","RF",0.541899441340782
5.3,9,4,"ILR_only","MultinomialLasso",0.480446927374302
5.3,9,4,"ILR_only","Mahalanobis",0.41340782122905
5.3,9,4,"CDPA_only","RF",0.743016759776536
5.3,9,4,"CDPA_only","MultinomialLasso",0.770949720670391
5.3,9,4,"CDPA_only","Mahalanobis",0.603351955307263
5.3,9,5,"ILR_CDPA","RF",0.780898876404494
5.3,9,5,"ILR_CDPA","MultinomialLasso",0.741573033707865
5.3,9,5,"ILR_CDPA","Mahalanobis",0.629213483146067
5.3,9,5,"ILR_only","RF",0.471910112359551
5.3,9,5,"ILR_only","MultinomialLasso",0.466292134831461
5.3,9,5,"ILR_only","Mahalanobis",0.410112359550562
5.3,9,5,"CDPA_only","RF",0.730337078651685
5.3,9,5,"CDPA_only","MultinomialLasso",0.713483146067416
5.3,9,5,"CDPA_only","Mahalanobis",0.51685393258427
5.3,10,1,"ILR_CDPA","RF",0.722826086956522
5.3,10,1,"ILR_CDPA","MultinomialLasso",0.771739130434783
5.3,10,1,"ILR_CDPA","Mahalanobis",0.581521739130435
5.3,10,1,"ILR_only","RF",0.494565217391304
5.3,10,1,"ILR_only","MultinomialLasso",0.456521739130435
5.3,10,1,"ILR_only","Mahalanobis",0.418478260869565
5.3,10,1,"CDPA_only","RF",0.706521739130435
5.3,10,1,"CDPA_only","MultinomialLasso",0.722826086956522
5.3,10,1,"CDPA_only","Mahalanobis",0.505434782608696
5.3,10,2,"ILR_CDPA","RF",0.759562841530055
5.3,10,2,"ILR_CDPA","MultinomialLasso",0.743169398907104
5.3,10,2,"ILR_CDPA","Mahalanobis",0.650273224043716
5.3,10,2,"ILR_only","RF",0.497267759562842
5.3,10,2,"ILR_only","MultinomialLasso",0.469945355191257
5.3,10,2,"ILR_only","Mahalanobis",0.459016393442623
5.3,10,2,"CDPA_only","RF",0.748633879781421
5.3,10,2,"CDPA_only","MultinomialLasso",0.737704918032787
5.3,10,2,"CDPA_only","Mahalanobis",0.53551912568306
5.3,10,3,"ILR_CDPA","RF",0.733333333333333
5.3,10,3,"ILR_CDPA","MultinomialLasso",0.677777777777778
5.3,10,3,"ILR_CDPA","Mahalanobis",0.544444444444444
5.3,10,3,"ILR_only","RF",0.472222222222222
5.3,10,3,"ILR_only","MultinomialLasso",0.461111111111111
5.3,10,3,"ILR_only","Mahalanobis",0.383333333333333
5.3,10,3,"CDPA_only","RF",0.733333333333333
5.3,10,3,"CDPA_only","MultinomialLasso",0.672222222222222
5.3,10,3,"CDPA_only","Mahalanobis",0.516666666666667
5.3,10,4,"ILR_CDPA","RF",0.787709497206704
5.3,10,4,"ILR_CDPA","MultinomialLasso",0.782122905027933
5.3,10,4,"ILR_CDPA","Mahalanobis",0.564245810055866
5.3,10,4,"ILR_only","RF",0.46927374301676
5.3,10,4,"ILR_only","MultinomialLasso",0.458100558659218
5.3,10,4,"ILR_only","Mahalanobis",0.385474860335196
5.3,10,4,"CDPA_only","RF",0.731843575418994
5.3,10,4,"CDPA_only","MultinomialLasso",0.737430167597765
5.3,10,4,"CDPA_only","Mahalanobis",0.631284916201117
5.3,10,5,"ILR_CDPA","RF",0.730337078651685
5.3,10,5,"ILR_CDPA","MultinomialLasso",0.747191011235955
5.3,10,5,"ILR_CDPA","Mahalanobis",0.612359550561798
5.3,10,5,"ILR_only","RF",0.51123595505618
5.3,10,5,"ILR_only","MultinomialLasso",0.50561797752809
5.3,10,5,"ILR_only","Mahalanobis",0.438202247191011
5.3,10,5,"CDPA_only","RF",0.685393258426966
5.3,10,5,"CDPA_only","MultinomialLasso",0.735955056179775
