"repeat_id","fold_id","model","t_end","accuracy_95","accuracy_98","paired_difference_98_minus_95","k_95","k_98"
14,1,"MultinomialLasso",10,0.744565217391304,0.78804347826087,0.0434782608695652,6,13
14,1,"Mahalanobis",10,0.559782608695652,0.597826086956522,0.0380434782608695,6,13
14,2,"RF",10,0.770491803278688,0.765027322404372,-0.00546448087431695,6,13
14,2,"MultinomialLasso",10,0.765027322404372,0.748633879781421,-0.0163934426229507,6,13
14,2,"Mahalanobis",10,0.579234972677596,0.595628415300546,0.0163934426229508,6,13
14,3,"RF",10,0.766666666666667,0.744444444444444,-0.0222222222222223,6,13
14,3,"MultinomialLasso",10,0.772222222222222,0.716666666666667,-0.0555555555555556,6,13
14,3,"Mahalanobis",10,0.627777777777778,0.644444444444444,0.0166666666666667,6,13
14,4,"RF",10,0.849162011173184,0.832402234636871,-0.0167597765363129,7,13
14,4,"MultinomialLasso",10,0.815642458100559,0.793296089385475,-0.0223463687150838,7,13
14,4,"Mahalanobis",10,0.569832402234637,0.64804469273743,0.0782122905027933,7,13
14,5,"RF",10,0.741573033707865,0.752808988764045,0.0112359550561797,6,12
14,5,"MultinomialLasso",10,0.758426966292135,0.769662921348315,0.0112359550561798,6,12
14,5,"Mahalanobis",10,0.539325842696629,0.539325842696629,0,6,12
15,1,"RF",10,0.793478260869565,0.820652173913043,0.0271739130434783,6,13
15,1,"MultinomialLasso",10,0.771739130434783,0.78804347826087,0.0163043478260869,6,13
15,1,"Mahalanobis",10,0.608695652173913,0.641304347826087,0.0326086956521738,6,13
15,2,"RF",10,0.737704918032787,0.737704918032787,0,6,12
15,2,"MultinomialLasso",10,0.797814207650273,0.765027322404372,-0.0327868852459017,6,12
15,2,"Mahalanobis",10,0.573770491803279,0.546448087431694,-0.0273224043715846,6,12
15,3,"RF",10,0.766666666666667,0.733333333333333,-0.0333333333333334,6,12
15,3,"MultinomialLasso",10,0.755555555555556,0.733333333333333,-0.0222222222222223,6,12
15,3,"Mahalanobis",10,0.522222222222222,0.533333333333333,0.0111111111111111,6,12
15,4,"RF",10,0.815642458100559,0.865921787709497,0.0502793296089385,6,13
15,4,"MultinomialLasso",10,0.804469273743017,0.804469273743017,0,6,13
15,4,"Mahalanobis",10,0.625698324022346,0.664804469273743,0.0391061452513967,6,13
15,5,"RF",10,0.831460674157303,0.831460674157303,0,6,12
15,5,"MultinomialLasso",10,0.786516853932584,0.797752808988764,0.0112359550561797,6,12
15,5,"Mahalanobis",10,0.578651685393258,0.612359550561798,0.0337078651685394,6,12
16,1,"RF",10,0.782608695652174,0.760869565217391,-0.0217391304347826,6,13
16,1,"MultinomialLasso",10,0.75,0.771739130434783,0.0217391304347826,6,13
16,1,"Mahalanobis",10,0.510869565217391,0.559782608695652,0.0489130434782609,6,13
16,2,"RF",10,0.80327868852459,0.830601092896175,0.0273224043715847,6,12
16,2,"MultinomialLasso",10,0.797814207650273,0.770491803278688,-0.0273224043715847,6,12
16,2,"Mahalanobis",10,0.601092896174863,0.568306010928962,-0.0327868852459017,6,12
16,3,"RF",10,0.811111111111111,0.805555555555556,-0.00555555555555554,6,12
16,3,"MultinomialLasso",10,0.755555555555556,0.744444444444444,-0.0111111111111111,6,12
16,3,"Mahalanobis",10,0.561111111111111,0.583333333333333,0.0222222222222223,6,12
16,4,"RF",10,0.793296089385475,0.759776536312849,-0.0335195530726258,6,12
16,4,"MultinomialLasso",10,0.793296089385475,0.782122905027933,-0.011173184357542,6,12
16,4,"Mahalanobis",10,0.592178770949721,0.564245810055866,-0.0279329608938548,6,12
16,5,"RF",10,0.747191011235955,0.769662921348315,0.0224719101123595,6,13
16,5,"MultinomialLasso",10,0.797752808988764,0.775280898876405,-0.0224719101123595,6,13
16,5,"Mahalanobis",10,0.567415730337079,0.634831460674157,0.0674157303370786,6,13
17,1,"RF",10,0.744565217391304,0.733695652173913,-0.0108695652173912,6,13
17,1,"MultinomialLasso",10,0.766304347826087,0.733695652173913,-0.0326086956521738,6,13
17,1,"Mahalanobis",10,0.58695652173913,0.641304347826087,0.0543478260869564,6,13
17,2,"RF",10,0.775956284153005,0.759562841530055,-0.0163934426229508,6,12
17,2,"MultinomialLasso",10,0.759562841530055,0.781420765027322,0.0218579234972678,6,12
17,2,"Mahalanobis",10,0.540983606557377,0.59016393442623,0.0491803278688524,6,12
17,3,"RF",10,0.811111111111111,0.811111111111111,0,6,13
17,3,"MultinomialLasso",10,0.788888888888889,0.777777777777778,-0.0111111111111111,6,13
17,3,"Mahalanobis",10,0.6,0.622222222222222,0.0222222222222223,6,13
17,4,"RF",10,0.782122905027933,0.82122905027933,0.0391061452513967,6,12
17,4,"MultinomialLasso",10,0.787709497206704,0.798882681564246,0.0111731843575419,6,12
17,4,"Mahalanobis",10,0.597765363128492,0.614525139664804,0.0167597765363129,6,12
17,5,"RF",10,0.803370786516854,0.786516853932584,-0.0168539325842696,6,12
17,5,"MultinomialLasso",10,0.786516853932584,0.803370786516854,0.0168539325842696,6,12
17,5,"Mahalanobis",10,0.589887640449438,0.584269662921348,-0.0056179775280899,6,12
18,1,"RF",10,0.782608695652174,0.782608695652174,0,6,13
18,1,"MultinomialLasso",10,0.777173913043478,0.771739130434783,-0.00543478260869568,6,13
18,1,"Mahalanobis",10,0.614130434782609,0.679347826086957,0.0652173913043479,6,13
18,2,"RF",10,0.786885245901639,0.814207650273224,0.0273224043715847,6,13
18,2,"MultinomialLasso",10,0.73224043715847,0.765027322404372,0.0327868852459016,6,13
18,2,"Mahalanobis",10,0.622950819672131,0.60655737704918,-0.0163934426229508,6,13
18,3,"RF",10,0.8,0.772222222222222,-0.0277777777777778,6,13
18,3,"MultinomialLasso",10,0.788888888888889,0.811111111111111,0.0222222222222223,6,13
18,3,"Mahalanobis",10,0.577777777777778,0.594444444444444,0.0166666666666667,6,13
18,4,"RF",10,0.815642458100559,0.787709497206704,-0.0279329608938548,6,12
18,4,"MultinomialLasso",10,0.793296089385475,0.76536312849162,-0.0279329608938548,6,12
18,4,"Mahalanobis",10,0.497206703910615,0.536312849162011,0.0391061452513967,6,12
18,5,"RF",10,0.769662921348315,0.775280898876405,0.0056179775280899,6,12
18,5,"MultinomialLasso",10,0.769662921348315,0.775280898876405,0.0056179775280899,6,12
18,5,"Mahalanobis",10,0.573033707865168,0.584269662921348,0.0112359550561798,6,12
19,1,"RF",10,0.760869565217391,0.75,-0.0108695652173914,6,12
19,1,"MultinomialLasso",10,0.75,0.75,0,6,12
19,1,"Mahalanobis",10,0.510869565217391,0.559782608695652,0.0489130434782609,6,12
19,2,"RF",10,0.830601092896175,0.808743169398907,-0.0218579234972678,6,13
19,2,"MultinomialLasso",10,0.80327868852459,0.80327868852459,0,6,13
19,2,"Mahalanobis",10,0.573770491803279,0.595628415300546,0.0218579234972678,6,13
19,3,"RF",10,0.766666666666667,0.783333333333333,0.0166666666666666,6,12
19,3,"MultinomialLasso",10,0.744444444444444,0.744444444444444,0,6,12
19,3,"Mahalanobis",10,0.544444444444444,0.605555555555556,0.0611111111111111,6,12
19,4,"RF",10,0.793296089385475,0.798882681564246,0.00558659217877089,6,13
19,4,"MultinomialLasso",10,0.804469273743017,0.787709497206704,-0.0167597765363129,6,13
19,4,"Mahalanobis",10,0.581005586592179,0.64804469273743,0.0670391061452513,6,13
19,5,"RF",10,0.786516853932584,0.814606741573034,0.0280898876404494,6,12
19,5,"MultinomialLasso",10,0.786516853932584,0.797752808988764,0.0112359550561797,6,12
19,5,"Mahalanobis",10,0.573033707865168,0.606741573033708,0.0337078651685394,6,12
20,1,"RF",10,0.815217391304348,0.798913043478261,-0.0163043478260869,6,13
20,1,"MultinomialLasso",10,0.771739130434783,0.755434782608696,-0.0163043478260869,6,13
20,1,"Mahalanobis",10,0.625,0.635869565217391,0.0108695652173914,6,13
20,2,"RF",10,0.80327868852459,0.797814207650273,-0.00546448087431695,6,13
20,2,"MultinomialLasso",10,0.786885245901639,0.786885245901639,0,6,13
20,2,"Mahalanobis",10,0.519125683060109,0.562841530054645,0.0437158469945355,6,13
20,3,"RF",10,0.738888888888889,0.738888888888889,0,6,13
20,3,"MultinomialLasso",10,0.8,0.811111111111111,0.0111111111111111,6,13
20,3,"Mahalanobis",10,0.6,0.633333333333333,0.0333333333333333,6,13
20,4,"RF",10,0.770949720670391,0.782122905027933,0.0111731843575419,6,12
20,4,"MultinomialLasso",10,0.810055865921788,0.810055865921788,0,6,12
20,4,"Mahalanobis",10,0.597765363128492,0.642458100558659,0.0446927374301677,6,12
20,5,"RF",10,0.764044943820225,0.769662921348315,0.0056179775280899,6,13
20,5,"MultinomialLasso",10,0.769662921348315,0.758426966292135,-0.0112359550561798,6,13
20,5,"Mahalanobis",10,0.533707865168539,0.589887640449438,0.0561797752808989,6,13
