"repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
11,1,"RF",10,0.793478260869565,0.771739130434783,-0.0217391304347826,6
11,1,"MultinomialLasso",10,0.782608695652174,0.766304347826087,-0.016304347826087,6
11,1,"Mahalanobis",10,0.608695652173913,0.608695652173913,0,6
11,2,"RF",10,0.814207650273224,0.792349726775956,-0.0218579234972678,6
11,2,"MultinomialLasso",10,0.781420765027322,0.786885245901639,0.00546448087431695,6
11,2,"Mahalanobis",10,0.540983606557377,0.540983606557377,0,6
11,3,"RF",10,0.827777777777778,0.811111111111111,-0.0166666666666666,6
11,3,"MultinomialLasso",10,0.805555555555556,0.805555555555556,0,6
11,3,"Mahalanobis",10,0.65,0.65,0,6
11,4,"RF",10,0.782122905027933,0.776536312849162,-0.00558659217877089,6
11,4,"MultinomialLasso",10,0.798882681564246,0.804469273743017,0.005586592178771,6
11,4,"Mahalanobis",10,0.513966480446927,0.513966480446927,0,6
11,5,"RF",10,0.735955056179775,0.752808988764045,0.0168539325842696,6
11,5,"MultinomialLasso",10,0.730337078651685,0.747191011235955,0.0168539325842697,6
11,5,"Mahalanobis",10,0.573033707865168,0.578651685393258,0.0056179775280899,6
12,1,"RF",10,0.755434782608696,0.771739130434783,0.0163043478260869,6
12,1,"MultinomialLasso",10,0.755434782608696,0.744565217391304,-0.0108695652173914,6
12,1,"Mahalanobis",10,0.543478260869565,0.521739130434783,-0.0217391304347826,6
12,2,"RF",10,0.808743169398907,0.80327868852459,-0.00546448087431695,6
12,2,"MultinomialLasso",10,0.797814207650273,0.797814207650273,0,6
12,2,"Mahalanobis",10,0.59016393442623,0.612021857923497,0.0218579234972678,6
12,3,"RF",10,0.8,0.788888888888889,-0.0111111111111112,6
12,3,"MultinomialLasso",10,0.772222222222222,0.772222222222222,0,6
12,3,"Mahalanobis",10,0.561111111111111,0.55,-0.0111111111111111,6
12,4,"RF",10,0.759776536312849,0.76536312849162,0.005586592178771,6
12,4,"MultinomialLasso",10,0.759776536312849,0.759776536312849,0,6
12,4,"Mahalanobis",10,0.564245810055866,0.592178770949721,0.0279329608938548,6
12,5,"RF",10,0.780898876404494,0.769662921348315,-0.0112359550561798,6
12,5,"MultinomialLasso",10,0.775280898876405,0.769662921348315,-0.0056179775280899,6
12,5,"Mahalanobis",10,0.550561797752809,0.567415730337079,0.0168539325842697,6
13,1,"RF",10,0.826086956521739,0.798913043478261,-0.0271739130434783,6
13,1,"MultinomialLasso",10,0.826086956521739,0.815217391304348,-0.0108695652173914,6
13,1,"Mahalanobis",10,0.668478260869565,0.635869565217391,-0.0326086956521738,6
13,2,"RF",10,0.73224043715847,0.73224043715847,0,6
13,2,"MultinomialLasso",10,0.754098360655738,0.754098360655738,0,6
13,2,"Mahalanobis",10,0.530054644808743,0.546448087431694,0.0163934426229508,6
13,3,"RF",10,0.766666666666667,0.772222222222222,0.00555555555555554,6
13,3,"MultinomialLasso",10,0.766666666666667,0.744444444444444,-0.0222222222222223,6
13,3,"Mahalanobis",10,0.527777777777778,0.538888888888889,0.0111111111111111,6
13,4,"RF",10,0.804469273743017,0.793296089385475,-0.0111731843575419,7
13,4,"MultinomialLasso",10,0.804469273743017,0.804469273743017,0,7
13,4,"Mahalanobis",10,0.620111731843575,0.608938547486033,-0.0111731843575419,7
13,5,"RF",10,0.775280898876405,0.792134831460674,0.0168539325842697,6
13,5,"MultinomialLasso",10,0.769662921348315,0.780898876404494,0.0112359550561798,6
13,5,"Mahalanobis",10,0.578651685393258,0.578651685393258,0,6
14,1,"RF",10,0.809782608695652,0.804347826086957,-0.00543478260869568,6
14,1,"MultinomialLasso",10,0.78804347826087,0.793478260869565,0.00543478260869568,6
14,1,"Mahalanobis",10,0.548913043478261,0.53804347826087,-0.0108695652173914,6
14,2,"RF",10,0.80327868852459,0.808743169398907,0.00546448087431695,6
14,2,"MultinomialLasso",10,0.775956284153005,0.786885245901639,0.0109289617486339,6
14,2,"Mahalanobis",10,0.622950819672131,0.633879781420765,0.0109289617486339,6
14,3,"RF",10,0.838888888888889,0.85,0.0111111111111111,6
14,3,"MultinomialLasso",10,0.816666666666667,0.816666666666667,0,6
14,3,"Mahalanobis",10,0.522222222222222,0.505555555555556,-0.0166666666666667,6
14,4,"RF",10,0.720670391061452,0.720670391061452,0,6
14,4,"MultinomialLasso",10,0.748603351955307,0.759776536312849,0.0111731843575419,6
14,4,"Mahalanobis",10,0.558659217877095,0.581005586592179,0.0223463687150839,6
14,5,"RF",10,0.775280898876405,0.764044943820225,-0.0112359550561798,6
14,5,"MultinomialLasso",10,0.792134831460674,0.786516853932584,-0.0056179775280899,6
14,5,"Mahalanobis",10,0.589887640449438,0.584269662921348,-0.0056179775280899,6
15,1,"RF",10,0.777173913043478,0.771739130434783,-0.00543478260869568,6
15,1,"MultinomialLasso",10,0.766304347826087,0.777173913043478,0.0108695652173914,6
15,1,"Mahalanobis",10,0.543478260869565,0.581521739130435,0.0380434782608696,6
15,2,"RF",10,0.797814207650273,0.80327868852459,0.00546448087431695,6
15,2,"MultinomialLasso",10,0.819672131147541,0.825136612021858,0.00546448087431695,6
15,2,"Mahalanobis",10,0.540983606557377,0.546448087431694,0.00546448087431695,6
15,3,"RF",10,0.761111111111111,0.755555555555556,-0.00555555555555554,6
15,3,"MultinomialLasso",10,0.755555555555556,0.755555555555556,0,6
15,3,"Mahalanobis",10,0.555555555555556,0.544444444444444,-0.0111111111111112,6
15,4,"RF",10,0.804469273743017,0.798882681564246,-0.005586592178771,6
15,4,"MultinomialLasso",10,0.754189944134078,0.743016759776536,-0.0111731843575419,6
15,4,"Mahalanobis",10,0.592178770949721,0.58659217877095,-0.005586592178771,6
15,5,"RF",10,0.786516853932584,0.764044943820225,-0.0224719101123596,6
15,5,"MultinomialLasso",10,0.803370786516854,0.814606741573034,0.0112359550561798,6
15,5,"Mahalanobis",10,0.640449438202247,0.601123595505618,-0.0393258426966292,6
16,1,"RF",10,0.739130434782609,0.75,0.0108695652173914,6
16,1,"MultinomialLasso",10,0.733695652173913,0.739130434782609,0.00543478260869557,6
16,1,"Mahalanobis",10,0.516304347826087,0.516304347826087,0,6
16,2,"RF",10,0.797814207650273,0.781420765027322,-0.0163934426229508,6
16,2,"MultinomialLasso",10,0.770491803278688,0.775956284153005,0.00546448087431695,6
16,2,"Mahalanobis",10,0.595628415300546,0.59016393442623,-0.00546448087431695,6
16,3,"RF",10,0.772222222222222,0.777777777777778,0.00555555555555554,6
16,3,"MultinomialLasso",10,0.8,0.805555555555556,0.00555555555555554,6
16,3,"Mahalanobis",10,0.594444444444444,0.594444444444444,0,6
16,4,"RF",10,0.810055865921788,0.810055865921788,0,6
16,4,"MultinomialLasso",10,0.798882681564246,0.798882681564246,0,6
16,4,"Mahalanobis",10,0.569832402234637,0.558659217877095,-0.0111731843575419,6
16,5,"RF",10,0.758426966292135,0.730337078651685,-0.0280898876404494,6
16,5,"MultinomialLasso",10,0.769662921348315,0.752808988764045,-0.0168539325842697,6
16,5,"Mahalanobis",10,0.606741573033708,0.617977528089888,0.0112359550561797,6
17,1,"RF",10,0.782608695652174,0.771739130434783,-0.0108695652173914,6
17,1,"MultinomialLasso",10,0.793478260869565,0.793478260869565,0,6
17,1,"Mahalanobis",10,0.570652173913043,0.597826086956522,0.0271739130434783,6
17,2,"RF",10,0.80327868852459,0.825136612021858,0.0218579234972678,6
17,2,"MultinomialLasso",10,0.797814207650273,0.80327868852459,0.00546448087431695,6
17,2,"Mahalanobis",10,0.622950819672131,0.60655737704918,-0.0163934426229508,6
17,3,"RF",10,0.766666666666667,0.766666666666667,0,6
17,3,"MultinomialLasso",10,0.716666666666667,0.716666666666667,0,6
17,3,"Mahalanobis",10,0.588888888888889,0.588888888888889,0,6
17,4,"RF",10,0.815642458100559,0.82122905027933,0.00558659217877089,6
